LOCATION;INDICATOR;SUBJECT;MEASURE;FREQUENCY;TIME;Value;Flag Codes
BEL;SIGI;RESTRPHYSINTEG;IDX;A;2019;8.4;
CZE;SIGI;RESTRPHYSINTEG;IDX;A;2019;12.8;
FRA;SIGI;RESTRPHYSINTEG;IDX;A;2019;6;
HUN;SIGI;RESTRPHYSINTEG;IDX;A;2019;17.1;
ITA;SIGI;RESTRPHYSINTEG;IDX;A;2019;14.7;
MEX;SIGI;RESTRPHYSINTEG;IDX;A;2019;15.6;
ESP;SIGI;RESTRPHYSINTEG;IDX;A;2019;11.7;
TUR;SIGI;RESTRPHYSINTEG;IDX;A;2019;7.8;
USA;SIGI;RESTRPHYSINTEG;IDX;A;2019;10.5;
ALB;SIGI;RESTRPHYSINTEG;IDX;A;2019;16.4;
ARM;SIGI;RESTRPHYSINTEG;IDX;A;2019;34.5;
AZE;SIGI;RESTRPHYSINTEG;IDX;A;2019;42.8;
BGD;SIGI;RESTRPHYSINTEG;IDX;A;2019;28.9;
BLR;SIGI;RESTRPHYSINTEG;IDX;A;2019;14.7;
BIH;SIGI;RESTRPHYSINTEG;IDX;A;2019;10.9;
BRA;SIGI;RESTRPHYSINTEG;IDX;A;2019;14.8;
BGR;SIGI;RESTRPHYSINTEG;IDX;A;2019;15.6;
KHM;SIGI;RESTRPHYSINTEG;IDX;A;2019;13.5;
COL;SIGI;RESTRPHYSINTEG;IDX;A;2019;14.9;
ETH;SIGI;RESTRPHYSINTEG;IDX;A;2019;30.8;
GEO;SIGI;RESTRPHYSINTEG;IDX;A;2019;18.3;
GHA;SIGI;RESTRPHYSINTEG;IDX;A;2019;20.2;
HTI;SIGI;RESTRPHYSINTEG;IDX;A;2019;37.3;
IND;SIGI;RESTRPHYSINTEG;IDX;A;2019;29.3;
IDN;SIGI;RESTRPHYSINTEG;IDX;A;2019;21.9;
KAZ;SIGI;RESTRPHYSINTEG;IDX;A;2019;14.4;
LVA;SIGI;RESTRPHYSINTEG;IDX;A;2019;15.7;
LTU;SIGI;RESTRPHYSINTEG;IDX;A;2019;9.3;
MKD;SIGI;RESTRPHYSINTEG;IDX;A;2019;15.1;
MDA;SIGI;RESTRPHYSINTEG;IDX;A;2019;12.7;
MOZ;SIGI;RESTRPHYSINTEG;IDX;A;2019;15.5;
NGA;SIGI;RESTRPHYSINTEG;IDX;A;2019;32;
PAK;SIGI;RESTRPHYSINTEG;IDX;A;2019;37.1;
PRY;SIGI;RESTRPHYSINTEG;IDX;A;2019;22.1;
PER;SIGI;RESTRPHYSINTEG;IDX;A;2019;26.6;
PHL;SIGI;RESTRPHYSINTEG;IDX;A;2019;25.7;
ROU;SIGI;RESTRPHYSINTEG;IDX;A;2019;7.7;
RUS;SIGI;RESTRPHYSINTEG;IDX;A;2019;19.1;
SVN;SIGI;RESTRPHYSINTEG;IDX;A;2019;7.1;
ZAF;SIGI;RESTRPHYSINTEG;IDX;A;2019;15.1;
TZA;SIGI;RESTRPHYSINTEG;IDX;A;2019;28.5;
THA;SIGI;RESTRPHYSINTEG;IDX;A;2019;22.7;
